Resort_ID,Month,avg_snow
1,2022-01-01,99.606
1,2022-02-01,99.724
1,2022-03-01,100
1,2022-04-01,86.141
1,2022-05-01,86.33285714285714
1,2022-06-01,38.896
1,2022-07-01,20.47
1,2022-08-01,14.175
1,2022-09-01,12.99
1,2022-10-01,100
1,2022-11-01,85.276
1,2022-12-01,99.922
"1, 2",2022-01-01,99.86833333333334
"1, 2",2022-02-01,100
"1, 2",2022-03-01,99.67166666666667
"1, 2",2022-04-01,93.30666666666667
"1, 2",2022-05-01,76.4775
"1, 2",2022-06-01,33.07
"1, 2",2022-07-01,0.79
"1, 2",2022-10-01,54.919999999999995
"1, 2",2022-11-01,97.17833333333333
"1, 2",2022-12-01,98.68666666666667
2,2022-01-01,99.804
2,2022-02-01,100
2,2022-03-01,100
2,2022-04-01,100
2,2022-05-01,89.2388888888889
2,2022-06-01,50.195
2,2022-07-01,22.44
2,2022-09-01,0.39
2,2022-10-01,74.9025
2,2022-11-01,75.078
2,2022-12-01,100
"3, 267, 284, 296, 309, 366, 419",2022-01-01,77.95
"3, 267, 284, 296, 309, 366, 419",2022-02-01,27.17
"3, 267, 284, 296, 309, 366, 419",2022-12-01,26.38
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-01-01,96.85
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-02-01,96.06
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-03-01,94.88
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-04-01,65.35
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-05-01,3.54
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-09-01,0.79
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-11-01,79.13
"3, 31, 33, 42, 43, 44, 104, 108, 110, 111, 113, 119, 120, 139, 141, 176, 201, 236, 257, 258, 309, 366, 419, 479",2022-12-01,97.24
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-01-01,100
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-02-01,100
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-03-01,100
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-04-01,96.85
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-05-01,35.83
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-06-01,12.2
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-09-01,10.63
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-10-01,14.17
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-11-01,100
"3, 31, 33, 42, 43, 44, 108, 110, 113, 119, 139, 141, 176, 201, 257, 258, 309, 330, 366, 419, 479",2022-12-01,100
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-01-01,96.46
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-02-01,98.03
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-03-01,98.43
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-04-01,88.58
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-05-01,7.09
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-11-01,95.28
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 236, 257, 267, 284, 296, 309, 366, 419, 479",2022-12-01,97.64
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-01-01,97.64
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-02-01,98.43
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-03-01,35.04
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-04-01,5.91
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-11-01,94.09
"3, 31, 42, 43, 44, 110, 119, 139, 141, 157, 176, 201, 257, 267, 309, 366, 419, 479",2022-12-01,94.88
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-01-01,99.61
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-02-01,100
"3, 31, 42, 44, 139, 141, 157, 174, 176, 201, 257, 267, 284, 296, 309, 329, 366, 419",2022-03-01,99.61
