"CleanedResort","OriginalResort"
"Hemsedal","Hemsedal"
"Geilosiden Geilo","Geilosiden Geilo"
"Golm","Golm"
"Red Mountain Resort-Rossland","Red Mountain Resort-Rossland"
"Hafjell","Hafjell"
"Voss","Voss"
"Porter","Porter"
"Nevados de Chillan","Nevados de Chillan"
"Hochschwarzeck","Hochschwarzeck"
"Rossfeld - Berchtesgaden - Oberau","Rossfeld - Berchtesgaden - Oberau"
"Fernie","Fernie"
"Sun Peaks","Sun Peaks"
"Panorama","Panorama"
"Brauneck Lenggries Wegscheid","Brauneck Lenggries Wegscheid"
"Zermatt - Matterhorn","Zermatt - Matterhorn"
"Treble Cone","Treble Cone"
"Val Gardena","Val Gardena"
"Gressoney - La-Trinite Monterosa Ski","Gressoney - La-Trinite Monterosa Ski"
"Les Gets Les Portes du Soleil","Les Gets Les Portes du Soleil"
"Espace San Bernardo La RosireLa Thuile","Espace San Bernardo La RosireLa Thuile"
"The Lecht","The Lecht"
"Steamboat","Steamboat"
"Howelsen Hill-Steamboat Springs","Howelsen Hill-Steamboat Springs"
"Les Contamines-Hauteluce","Les Contamines-Hauteluce"
"Crested Butte","Crested Butte"
"Jackson Hole","Jackson Hole"
"Park City","Park City"
"Nevis Range","Nevis Range"
"Arapahoe Basin","Arapahoe Basin"
"The Remarkables","The Remarkables"
"Valchiavenna MadesimoCampodolcino","Valchiavenna MadesimoCampodolcino"
"La Thuile La Rosire - Espace San Bernardo","La Thuile La Rosire - Espace San Bernardo"
"Livigno CaroselloMottolino","Livigno CaroselloMottolino"
"Madonna di Campiglio-Pinzolo-Folgarida-Marilleva","Madonna di Campiglio-Pinzolo-Folgarida-Marilleva"
"Wagrain Ski amed","Wagrain Ski amed"
"Kaunertal Glacier Kaunertaler Gletscher","Kaunertal Glacier Kaunertaler Gletscher"
"Saalbach Hinterglemm Leogang Fieberbrunn Skicircus","Saalbach Hinterglemm Leogang Fieberbrunn Skicircus"
"Sestriere ski resort Via Lattea","Sestriere ski resort Via Lattea"
"Reither Kogel-Reith im Alpbachtal","Reither Kogel-Reith im Alpbachtal"
"Kicking Horse - Golden","Kicking Horse - Golden"
"Grandvalira Pas de la CasaGrau RoigSoldeuEl TarterCanilloEncamp","Grandvalira Pas de la CasaGrau RoigSoldeuEl TarterCanilloEncamp"
"Rinerhorn Davos Klosters","Rinerhorn Davos Klosters"
"Madrisa Davos Klosters","Madrisa Davos Klosters"
"Jakobshorn Davos Klosters","Jakobshorn Davos Klosters"
"Glacier 3000 Les Diablerets","Glacier 3000 Les Diablerets"
"Big White","Big White"
"Obergurgl-Hochgurgl","Obergurgl-Hochgurgl"
"Coronet Peak","Coronet Peak"
"Les Deux alpes","Les Deux alpes"
"Valle Nevado","Valle Nevado"
"Ben Lomond","Ben Lomond"
"Portillo","Portillo"
"Catedral Alta Patagonia","Catedral Alta Patagonia"
"Whistler","Whistler"
"Stubai Glacier","Stubai Glacier"
"Fonna Glacier","Fonna Glacier"
"Tignes - Val dIsere","Tignes - Val dIsere"
"La Plagne Paradiski","La Plagne Paradiski"
"Les Orres","Les Orres"
"Espace Diamant-Les SaisiesNotre-Dame-de-BellecombePraz sur ArlyFlumetCrest-Voland","Espace Diamant-Les SaisiesNotre-Dame-de-BellecombePraz sur ArlyFlumetCrest-Voland"
"Avoriaz Les Portes du Soleil","Avoriaz Les Portes du Soleil"
"Chatel Les Portes du Soleil","Chatel Les Portes du Soleil"
"Le Lys - Cauterets","Le Lys - Cauterets"
"Pont dEspagne - Cauterets","Pont dEspagne - Cauterets"
"La Grave - La Meije","La Grave - La Meije"
"Courchevel Les 3 Vallees","Courchevel Les 3 Vallees"
"Saint Martin de Belleville Les 3 Vallees","Saint Martin de Belleville Les 3 Vallees"
"Alpe dHuez","Alpe dHuez"
"La Tania-Val ThorensLes MenuiresMeribel Les 3 Vallees","La Tania-Val ThorensLes MenuiresMeribel Les 3 Vallees"
"Sainte-Foy-Tarentaise","Sainte-Foy-Tarentaise"
"Les Arcs Peisey-Vallandry Paradiski","Les Arcs Peisey-Vallandry Paradiski"
"Montgenevre Via Lattea","Montgenevre Via Lattea"
"Bonneval sur Arc","Bonneval sur Arc"
"Val Thorens Les 3 Vallees","Val Thorens Les 3 Vallees"
"Serre Chevalier-BrianconChantemerleVilleneuve-la-SalleLe Monetier-les-Bains","Serre Chevalier-BrianconChantemerleVilleneuve-la-SalleLe Monetier-les-Bains"
"Kleine Scheidegg Mannlichen-Grindelwald Wengen","Kleine Scheidegg Mannlichen-Grindelwald Wengen"
"Balme-Les Autannes-Vallorcine-Le Tour","Balme-Les Autannes-Vallorcine-Le Tour"
"Grands Montets-Argentiere Chamonix","Grands Montets-Argentiere Chamonix"
"Winter Park Resort","Winter Park Resort"
"Arcalis-Ordino Vallnord","Arcalis-Ordino Vallnord"
"Ruka","Ruka"
"Levi","Levi"
"Niseko","Niseko"
"Kranjska Gora","Kranjska Gora"
"El Tarter Pas de la CasaGrau RoigSoldeuCanilloEncamp Grandvalira","El Tarter Pas de la CasaGrau RoigSoldeuCanilloEncamp Grandvalira"
"Bansko","Bansko"
"Alta","Alta"
"Aspen Mountain","Aspen Mountain"
"Aspen Highlands","Aspen Highlands"
"Squaw Valley","Squaw Valley"
"Vail","Vail"
"Kitzsteinhorn - Kaprun","Kitzsteinhorn - Kaprun"
"Snowbasin","Snowbasin"
"Beaver Creek","Beaver Creek"
"Glencoe Mountain","Glencoe Mountain"
"Slden","Slden"
"Kuhtai","Kuhtai"
"Breckenridge","Breckenridge"
"Obertauern","Obertauern"
"Elfer Neustift","Elfer Neustift"
"Serfaus-Fiss-Ladis","Serfaus-Fiss-Ladis"
"Hochkonig-Maria AlmDientenMuhlbach","Hochkonig-Maria AlmDientenMuhlbach"
"Mayrhofen-PenkenAhornRastkogelEggalm","Mayrhofen-PenkenAhornRastkogelEggalm"
